TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
70,1.2,12.2,0.6,26.9,,installer,,,,
73,1.3,15.4,0.4,14.8,,worker,,,,
191,1.5,3.4,0.4,13.1,,technician,mechanic,,,
89,1.8,2.7,2.1,43.3,,tree,trimmers,pruners,,
131,1.8,8,1,14.6,,installer,repairer,,,
51,1.8,2.1,0,58,,mason,finisher,worker,,
128,2,3.8,0.7,58.9,,installer,finisher,,,
396,2.3,8.6,0.4,19.9,,operator,,,,
334,2.8,7,2.3,20.7,,mechanic,specialist,,,
992,2.9,9.2,1.8,26.2,,electrician,,,,
128,2.9,3.5,1.7,45.8,,brickmason,blockmason,stonemason,,
495,3,8.9,3.6,25.4,,mechanic,installer,,,
636,3.2,10.2,2.6,32.5,,plumber,pipefitter,steamfitter,,
914,3.2,9.9,3.6,30.4,,technician,mechanic,,,
85,3.4,15.2,5.7,17.9,,technician,,,,
2293,3.5,6.4,1.6,53.9,,laborer,,,,
51,3.9,19.1,0.5,8.6,,conductor,,,,
240,4.1,5.8,1.2,68.2,,roofer,,,,
97,4.2,11.1,1.7,30.5,,mechanic,installer,repairer,,
140,4.2,5.1,1.8,65.8,,installer,taper,,,
1279,4.2,6.6,1.2,41.4,,carpenter,,,,
8520,4.3,7.5,1.5,41.6,,construction,extraction,occupations,,
373,4.4,10.2,2.6,20.2,,mechanic,,,,
4901,4.5,9.8,2.9,23.6,,installation,maintenance,repair,occupations,
91,4.6,0.6,6.4,16.3,,operator,programmer,,,
281,4.8,6.8,7.1,12.6,,machinist,,,,
128,4.9,9.2,2.2,26.3,,repairer,,,,
725,5.1,10.3,3.2,23.2,,worker,,,,
53,5.1,14.6,4.6,17.7,,operator,,,,
792,6,8.2,1.6,26.9,,supervisor,worker,,,
592,6,9.5,3,26.7,,worker,,,,
14391,6,8.1,2,35.6,,natural,resources,construction,maintenance,occupations
96,6.2,18.7,3.8,17.5,,engineer,operator,,,
1193,6.2,9.7,0.9,48.1,,worker,,,,
298,6.2,9.8,3.4,15.4,,firefighter,,,,
146,6.3,8.7,3.4,21.1,,worker,,,,
127,6.3,15.2,1.9,27.3,,installer,repairer,,,
225,6.3,15.3,0.8,28.9,,worker,,,,
52,6.4,11,0,3.8,,supervisor,worker,,,
158,6.9,9.7,7.7,22.8,,mechanic,technician,,,
139,7.1,14.3,19.5,8.5,,architect,,,,
284,7.1,7.1,1.7,34.3,,supervisor,worker,,,
3578,7.9,21.3,4.5,24.3,,driver,worker,,,
107,8,8.3,0.1,15.6,,operator,,,,
272,8,9.7,2.8,16.4,,supervisor,installer,repairer,mechanic,
55,8.5,6.9,0,44.8,,helper,,,,
52,8.6,18.3,4.8,23,,operator,,,,
100,8.7,13.2,0,22,,worker,,,,
100,9.1,5.4,6.8,20,,installer,repairer,,,
117,9.2,11.5,2.8,18.1,,technician,,,,
213,9.6,4.4,2.7,8.3,,pilot,engineer,,,
125,9.8,13.7,6,13.2,,teller,repairer,,,
54,9.8,27,5.5,28.9,,attendant,,,,
