TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
86,0.2,3.7,,11.4,,operator,,,,
365,0.5,4.9,2.3,13.3,,mechanic,specialist,,,
53,0.7,6.1,,3,,conductor,,,,
252,0.8,3.2,1.1,46.8,,installer,taper,,,
245,0.9,8.7,0.6,33.7,,brickmason,blockmason,stonemason,,
224,1,3.6,1.3,14.3,,technician,mechanic,,,
90,1.1,2.1,,2.6,,tool,die,makers,,
661,1.2,8.9,0.4,18.1,,pipelayer,plumber,pipefitter,steamfitter,
51,1.4,15.4,0.5,12.7,,engineer,operator,,,
393,1.4,5,2,12.9,,mechanic,installer,,,
63,1.6,2.2,5.7,7.9,,worker,,,,
85,1.7,9.2,,10.7,,worker,,,,
119,1.7,7.5,0.4,54.4,,mason,finisher,worker,,
63,1.8,2.7,0.3,3.1,,mechanic,,,,
954,1.8,7.3,4.2,17.7,,technician,mechanic,,,
168,1.9,3.2,3.2,18.5,,repairer,,,,
1797,1.9,4.8,1.1,24.4,,carpenter,,,,
65,2,4.6,,6.2,,millwrights,,,,
61,2.1,8.8,2.4,15.7,,installer,repairer,,,
297,2.3,4.5,1.4,40,,installer,finisher,,,
274,2.4,7.2,0.7,42,,roofer,,,,
852,2.6,8.1,1.7,15.1,,electrician,,,,
69,2.6,7.8,2.4,27.8,,worker,,,,
444,2.6,7.1,3.1,13.8,,mechanic,,,,
414,2.7,6.2,1.1,10.1,,engineer,operator,,,
95,2.7,3.5,2.1,11.8,,technician,,,,
72,2.8,9,1.4,7.8,,operator,,,,
1012,2.9,5.2,0.7,12.6,,worker,,,,
53,3,7.8,,9.7,,repairer,,,,
116,3,16.2,3.1,11,,engineer,operator,,,
9145,3,7,1.2,26.8,,construction,extraction,occupations,,
113,3.2,8.9,0.9,38.6,,helper,,,,
243,3.3,10.6,1.4,7.9,,fire,fighters,,,
110,3.5,9.8,0.7,11.1,,installer,repairer,,,
1491,3.6,10.5,1.2,40.8,,laborer,,,,
147,3.6,3.5,2.4,17.2,,worker,,,,
344,4.1,10.7,1.7,14.9,,worker,,,,
5226,4.2,7.5,3,13.6,,installation,maintenance,repair,occupations,
3409,4.5,14.5,1.1,16.4,,driver,worker,,,
60,4.5,5.4,6.1,10.6,,installer,,,,
140,4.5,7,5.4,9,,mechanic,technician,,,
94,4.6,10.9,0.1,13.6,,worker,,,,
15348,4.6,7.1,1.8,23.1,,natural,resources,construction,maintenance,occupations
79,4.6,4.2,,9.3,,operator,,,,
82,4.9,2.5,0.5,7.7,,carpenter,,,,
121,5.2,2.5,0.3,5.7,,pilot,engineer,,,
314,5.7,7.8,1.1,7.2,,repairer,,,,
318,5.8,2.5,8.7,4,,engineer,,,,
576,5.8,8.1,2.7,20,,worker,,,,
152,6,12.1,1,13.5,,installer,repairer,,,
238,6.2,6.3,0.3,13.2,,worker,,,,
881,6.3,2.7,2.3,5.8,,manager,,,,
541,6.3,22.8,0.8,23.8,,operator,,,,
420,6.8,7.6,3.6,11.7,,machinist,,,,
352,7.1,5.6,15.6,3.4,,engineer,,,,
689,7.5,7.4,1.8,35,,painters,construction,maintenance,,
1187,7.5,9,1.3,37.4,,worker,,,,
69,7.7,2.6,11.5,7,,repairer,,,,
107,8.5,12.6,3.8,8.1,,inspector,,,,
73,8.7,27.4,1.4,19.1,,collector,,,,
97,9.5,1.7,10,3.8,,manager,,,,
65,10,16.3,6.8,25.8,,attendant,,,,
60,10.3,13.6,1.9,18.9,,operator,,,,
93,10.8,12.8,4.4,24.1,,worker,,,,
81,10.8,8.4,23.1,5.5,,engineer,,,,
51,11.2,6,6.7,5.7,,programmer,operator,,,
56,11.3,12,2,15.1,,operator,,,,
244,11.7,9.1,2.6,8.7,,manager,,,,
60,12,9.8,4.9,17,,repairer,,,,
139,12,5.9,1.7,10.3,,salesperson,,,,
61,12.2,15.8,2.6,12.7,,announcers,,,,
122,12.5,8.2,0.2,6.3,,supervisor,manager,,,
319,13.2,6.1,10.3,3.5,,engineer,,,,
90,13.3,4.3,6.7,8.2,,engineer,,,,
214,13.5,15.1,3.8,9.3,,installer,repairer,,,
92,13.6,8.5,1.8,11.2,,technician,operator,,,
384,13.7,9.2,5.3,10.4,,teller,repairer,,,
2793,13.8,5.1,9.9,6.1,,architecture,engineering,occupations,,
347,14.1,14,1.2,33.5,,cleaners,vehicles,equipment,,
100,14.2,6.7,7.1,11.3,,attendant,,,,
677,14.3,13.7,1.1,11.3,,officer,,,,
55,14.3,3.1,15.2,3.8,,engineer,,,,
8664,14.8,16.1,2,18.4,,transportation,material,moving,occupations,
189,14.9,5.5,7,3.8,,engineer,,,,
198,15,9.5,2,25.7,,worker,,,,
60,15.2,23.6,1.1,10.9,,operator,,,,
435,15.5,9.7,4.4,5.8,,clergy,,,,
291,15.5,28.7,9.7,16.6,,driver,,,,
218,15.6,10.8,3.3,16.7,,operator,,,,
69,15.7,22.8,2.6,21.9,,porter,concierge,,,
309,15.8,13.3,3.5,14.7,,courier,messenger,,,
58,16.2,11.5,6.5,37.8,,worker,helper,,,
57,16.7,14.6,4.4,26.8,,upholsterers,,,,
310,17.2,6.7,2.4,6.5,,manager,,,,
1806,17.3,15.7,2.4,19.6,,laborer,mover,,,
112,17.4,3,1.1,4,,estimator,,,,
202,18.1,14.7,1.9,8.6,,supervisor,worker,,,
200,18.4,4.9,10.4,4.8,,network,computer,systems,administrators,
106,19.2,31.5,4.9,12.3,,barber,,,,
195,19.3,1.4,0.2,8.9,,manager,,,,
58,20.1,11,0.6,19.5,,job,printers,,,
410,20.2,8.9,7,10.1,,technician,drafter,,,
60,20.3,14.3,0.9,20.4,,plastic,,,,
317,20.4,11.8,19.3,18.1,,chef,cook,,,
868,20.9,10.4,2.9,12.5,,supervisor,manager,worker,,
100,21.2,10.7,1.8,28.6,,worker,,,,
54,21.5,11.6,,2.3,,funeral,directors,,,
212,21.6,4.2,6.5,10.1,,drafter,,,,
82,21.8,1.4,4,2.5,,chiropractors,,,,
832,21.9,5,24.6,3.9,,engineer,,,,
292,22.3,9.2,3.3,42,,worker,,,,
2894,22.4,19.3,1.6,10.4,,protective,service,occupations,,
99,22.5,3.2,1.9,3,,scientist,geoscientist,,,
976,22.5,5.1,1.6,40.3,,farming,fishing,forestry,occupations,
164,22.5,3.6,14.1,4.4,,dentists,,,,
123,22.8,15.7,1.1,11,,metal,plastic,,,
18041,22.9,14.1,3.5,19.2,,production,transportation,material,moving,occupations
264,23.8,15.4,1.5,35.4,,dishwasher,,,,
1644,23.8,3,3.9,3.8,,chief,executives,,,
123,24,13.8,1.4,8.9,,investigator,,,,
235,24.4,3.2,11,8.9,,architect,,,,
322,24.6,9.3,9.4,6.6,,analyst,,,,
814,24.7,31.3,2.5,12.1,,guard,officer,,,
1414,25.5,5.4,5.1,9.8,,supervisor,worker,manager,,
827,25.6,0.6,0.9,1.1,,farmers,ranchers,,,
581,26,4.6,18,5.7,,programmer,,,,
3246,27,6.9,14.7,5.3,,computer,mathematical,occupations,,
1379,27.2,3.4,2.7,7,,sales,representatives,wholesale,manufacturing,
86,28.1,18.8,6.7,7.9,,technician,,,,
392,28.7,6.2,5,7.6,,securities,commodities,financial,services,sales
424,29.1,23.7,1.3,10.8,,bailiff,officer,jailer,,
872,29.9,6.8,3.6,6.2,,manager,,,,
58,30.1,23.2,2.3,11.7,,operator,,,,
961,30.2,4.7,2,3.5,,lawyer,,,,
80,30.2,6.2,2.3,6.4,,manager,,,,
9378,30.3,12.4,4.9,20,,production,occupations,,,
745,30.3,8.3,11.4,4.8,,scientist,analyst,,,
273,30.8,10.2,2.3,6.3,,worker,,,,
380,30.8,5.1,6.2,4.4,,advisor,,,,
155,31.3,8.1,1.5,10.1,,technician,paramedic,,,
543,31.9,15.2,3.1,20.7,,clerk,,,,
89,32.3,13.1,6.3,5.1,,database,administrators,,,
830,32.3,5.3,17.3,5.2,,surgeon,,,,
351,32.3,5.9,6.3,3,,manager,,,,
2074,32.8,18.3,2.8,27.3,,janitor,,,,
474,32.9,9.3,1.6,7.3,,sales,representatives,services,,
334,33.2,9.1,5.5,9.7,,specialist,,,,
125,34.7,2.2,1.9,4,,appraiser,,,,
124,35.1,7.5,0.7,7.4,,producers,directors,,,
116,35.3,5.6,14,2.7,,chemist,scientist,,,
291,36.3,15.4,2.8,20,,supervisor,manager,worker,,
1461,37.1,15.3,3.4,17,,clerk,,,,
14685,37.2,6,4.2,6.3,,management,occupations,,,
213,37.6,8.2,3.8,7.8,,worker,,,,
89,37.7,12.8,2.8,6.4,,investigator,,,,
684,38.5,12,6.2,13.7,,inspector,,,,
61,38.7,1,1.7,1.3,,veterinarian,,,,
96,39,7.3,13.8,3.7,,analyst,,,,
150,39,8,3.9,9.2,,photographers,,,,
348,39.1,15.2,5.4,9.9,,postal,service,mail,carriers,
183,39.7,5.7,2.1,5.5,,manager,,,,
55,40.6,4.6,6.7,18.4,,worker,,,,
5241,40.6,15.8,2.7,30.6,,building,grounds,cleaning,maintenance,occupations
549,40.9,8.4,7.6,3.4,,analyst,,,,
798,41,3.8,4.2,6,,manager,,,,
70,41.2,7,4.6,5.9,,worker,,,,
3523,41.5,7.5,5.2,9,,supervisor,worker,manager,,
146,41.7,20.1,12.1,11.9,,clerk,,,,
51,41.9,13.4,6,9.3,,logisticians,,,,
1838,42.3,16.5,5,29.3,,cook,,,,
20450,42.5,7.1,4.8,6.5,,management,business,financial,operations,occupations
1406,42.5,5,10.1,4.5,,life,physical,social,science,occupations
929,44.2,6,10.6,12,,manager,,,,
1185,44.4,6.7,11.2,4.1,,teacher,,,,
111,45.1,30.8,14.8,11.1,,operator,,,,
531,45.2,7.9,2.6,6.2,,insurance,sales,agents,,
125,45.9,3,29.6,2.6,,scientist,,,,
85,46.4,10.2,4.6,21.5,,food,batchmakers,,,
141730,46.4,10.8,4.4,13.1,,,,,,
373,46.6,9.6,6.7,30.4,,attendant,helper,bartender,,
103,46.7,9.3,13.8,9.3,,technician,,,,
139,47.2,15.8,3.6,12.5,,health,safety,transportation,,
2736,47.8,5.9,4.3,7.1,,arts,design,entertainment,sports,media
248,48.3,6.3,10.4,5.5,,pharmacist,,,,
128,48.3,3.7,3.1,5.3,,supervisor,worker,manager,,
119,48.7,2.9,10.2,4.2,,scientist,,,,
591,48.7,23.1,1.4,12.7,,driver,,,,
626,48.7,8,2.6,13,,manager,,,,
16433,49.1,9.2,4.4,10.6,,sales,occupations,,,
1614,49.4,6,2.6,6.9,,legal,occupations,,,
159,49.8,5.5,12.2,4.6,,manager,,,,
98,49.8,6.6,20,9.8,,worker,,,,
235,50.2,7.6,2.9,5.9,,advertising,sales,agents,,
86,50.5,10.1,6.2,2.3,,analyst,,,,
49245,50.6,8.1,5.9,6.4,,management,professional,occupations,,
213,50.7,7.5,1.9,7.9,,wholesale,retail,buyers,farm,products
1045,51.7,7.4,6.3,6,,manager,,,,
3248,51.9,10.5,4.2,11.8,,salesperson,,,,
159,51.9,12.5,1.9,9.8,,clerk,,,,
52,52.3,6.1,2.9,1.6,,writer,,,,
71,52.6,15.6,1.9,16.3,,weighers,measurers,checkers,samplers,recordkeeping
234,52.6,2.4,5.3,6.7,,worker,,,,
183,54,9.8,8.1,24.6,,baker,,,,
439,54.1,11.9,3.8,12.7,,counselor,officer,,,
774,55,2.1,6.8,6.6,,designers,,,,
