TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
58,0.1,7.8,,21.3,,worker,,,,
72,0.3,4.1,,24.7,,tile,setters,hard,soft,
60,0.6,1.4,,5,,repairer,,,,
130,0.7,2.7,,5.5,,tool,die,makers,,
341,0.7,6.9,,11.5,,mechanic,,,,
184,0.7,13.8,,13.5,,brickmason,stonemason,,,
179,0.8,5.3,,7,,mechanic,,,,
200,0.9,8.9,,24.7,,roofer,,,,
68,0.9,7.6,,6.4,,operator,,,,
214,1,5.6,,15.9,,repairer,,,,
329,1,5.8,,9.1,,mechanic,,,,
101,1,6.4,,11.5,,operator,,,,
113,1.2,7,,9.2,,installer,repairer,,,
120,1.2,1.8,,2.4,,pilot,,,,
145,1.3,8.6,,14.2,,extractive,occupations,,,
1898,1.3,7,,12,,mechanic,repairer,,,
548,1.4,6,,9.5,,plumber,pipefitter,steamfitter,,
236,1.4,8.2,,6.6,,engineer,,,,
905,1.5,7.8,,13.2,,mechanic,,,,
51,1.5,11.4,,14.8,,pest,control,occupations,,
1335,1.6,6.6,,12.9,,carpenter,,,,
121,1.7,5.4,,19.2,,installer,,,,
159,1.8,6.2,,28.8,,installer,,,,
774,1.9,6,,9.9,,electrician,,,,
693,2.1,5.1,,7.8,,supervisor,,,,
85,2.2,21.6,,5.4,,operator,,,,
4685,2.4,7.4,,14.6,,supervisor,,,,
5378,2.4,7.1,,13.7,,construction,trades,,,
539,2.6,8.5,,9.4,,repairer,,,,
92,2.6,26.9,,21.3,,finisher,,,,
79,2.7,3.1,,6.1,,carpenter,,,,
135,2.9,8.4,,10.2,,mechanic,,,,
68,3,6.2,,4.6,,operator,,,,
79,3,8.5,,3.1,,timber,cutting,logging,occupations,
218,3.1,12.4,,4.6,,firefighting,,,,
66,3.2,13.7,,9.3,,repairer,,,,
123,3.2,13.9,,2.9,,rail,transportation,,,
174,3.3,11.3,,2.6,,transportation,occupations,motor,vehicles,
233,3.4,11.9,,5.7,,firefighting,fire,prevention,,
52,3.4,5,,2.2,,water,transportation,,,
120,3.5,4,,18.9,,supervisor,,,,
4428,3.7,8,,10.6,,mechanic,repairer,supervisor,,
4675,3.9,7.9,,10.2,,mechanic,repairer,,,
115,4.2,12.5,,27.6,,helper,,,,
53,4.5,11.2,,3.3,,locomotive,operating,occupations,,
1125,4.5,15.4,,12.7,,operator,,,,
60,4.6,11.8,,6.7,,repairer,,,,
130,4.6,12.8,,9.6,,engineer,,,,
