TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
162,0.1,6.7,0.8,35.5,,brickmason,blockmason,stonemason,,
88,0.3,12,,51.5,,mason,finisher,worker,,
124,0.4,8.2,0.7,10.3,,installer,repairer,,,
209,0.5,3.8,3.3,39.5,,installer,finisher,,,
59,0.6,0.6,,11.5,,worker,,,,
392,0.6,8,2.2,17.2,,mechanic,installer,,,
339,0.7,7.6,1.6,13.2,,mechanic,specialist,,,
99,0.8,7.3,0.7,25.7,,repairer,,,,
68,0.9,1.8,1,7.4,,tool,die,makers,,
214,1,4,1.3,46.4,,roofer,,,,
63,1.1,13.6,0.7,6.2,,worker,,,,
235,1.2,4.6,1.1,14.1,,technician,mechanic,,,
168,1.2,6.3,0.8,22.6,,repairer,,,,
55,1.4,10,,24.6,,worker,,,,
1242,1.4,4,1.4,25.7,,carpenter,,,,
691,1.5,7,1.6,14,,electrician,,,,
363,1.5,4.7,1.1,13.7,,engineer,operator,,,
526,1.5,7.2,1.3,20.8,,pipelayer,plumber,pipefitter,steamfitter,
802,1.6,6.8,3.5,20.3,,technician,mechanic,,,
91,1.7,9.8,5.3,14.5,,engineer,operator,,,
57,2,6.4,2.7,14,,mechanic,,,,
136,2.3,7.1,7.1,15.3,,mechanic,technician,,,
110,2.5,14.2,2.6,11,,worker,,,,
171,2.5,2.5,0.3,58.6,,installer,taper,,,
57,2.6,5.7,2.4,4.7,,engineer,operator,,,
7175,2.6,6.1,1.4,29.1,,construction,extraction,occupations,,
1267,2.7,9,2.2,43.1,,laborer,,,,
62,2.8,4,2.8,20.8,,carpenter,,,,
60,3,2.4,,20.8,,operator,,,,
51,3.2,3.3,0.1,9.6,,operator,,,,
60,3.3,4.5,0.2,41.6,,helper,,,,
76,3.3,5.3,1.7,15.9,,worker,,,,
447,3.5,8.1,2.2,14.4,,mechanic,,,,
301,3.6,6.4,0.5,9.6,,fire,fighters,,,
347,3.8,11.1,2.7,18,,worker,,,,
408,3.9,4.3,5.5,15.1,,machinist,,,,
659,3.9,4.9,1,16.5,,worker,,,,
56,3.9,6.9,2.1,18.3,,programmer,operator,,,
4911,3.9,7.8,2.9,15.7,,installation,maintenance,repair,occupations,
108,4,5.8,0.4,18.8,,worker,,,,
60,4.4,6,1.9,16.7,,installer,,,,
13073,4.6,6.7,2,25,,natural,resources,construction,maintenance,occupations
3028,4.6,13.6,1.5,17.5,,driver,worker,,,
110,5.2,1,1,6.3,,pilot,engineer,,,
479,5.4,7,3.6,22.7,,worker,,,,
1195,5.8,6.3,1.3,43.8,,worker,,,,
77,5.9,6.8,3.4,10.1,,operator,,,,
52,6,12.1,6,11.3,,installer,repairer,,,
499,6.2,22,1.2,32,,operator,,,,
381,6.3,7.5,1.9,9.9,,supervisor,mechanic,installer,repairer,manager
75,6.3,25.7,12.8,18,,attendant,,,,
197,6.3,5.4,1.4,18.5,,worker,,,,
58,6.5,19.9,1.2,8.4,,conductor,,,,
293,6.7,3.2,11,3.7,,engineer,,,,
1083,6.8,3.5,2,8.5,,manager,,,,
578,7.2,4.8,1.3,41,,painters,construction,maintenance,,
307,7.2,5.3,16.7,7,,engineer,,,,
54,7.2,5.5,4,7.1,,operator,editor,,,
229,7.3,3.8,1.1,20.5,,worker,,,,
163,7.5,9.4,1.6,17.5,,installer,repairer,,,
113,7.7,5.4,13.3,3.5,,manager,,,,
88,7.9,23.9,0.2,21.2,,collector,,,,
139,7.9,9.3,0.5,26.4,,worker,,,,
53,8.1,7.7,6.1,17.5,,repairer,,,,
59,8.7,13.2,2.7,17.8,,worker,,,,
104,8.7,8.3,2.3,9,,inspector,,,,
54,9,11.3,1.5,16.7,,operator,,,,
166,9.1,9.3,6.2,10.4,,installer,repairer,,,
318,9.7,4.9,8.9,6.9,,engineer,,,,
102,9.9,5.7,4.1,10.8,,technician,operator,,,
70,10.3,3.1,26.7,7.3,,engineer,,,,
126,10.8,6.7,3.7,3.8,,engineer,,,,
61,10.9,1.6,0.3,10.9,,technician,,,,
305,11,10,8,10.1,,teller,repairer,,,
115,11.6,1.5,0.6,7.5,,estimator,,,,
129,12.5,3.7,0.5,12.9,,salesperson,,,,
334,12.9,7.1,12.5,5.2,,engineer,,,,
2619,12.9,5.2,9,6.8,,architecture,engineering,occupations,,
714,13,12.1,2.7,15.2,,officer,,,,
374,13.2,8.2,4.6,8.9,,technician,drafter,,,
77,13.5,8.6,4,17.1,,attendant,,,,
73,13.8,10.8,0.5,12.4,,repairer,,,,
390,14.4,26.6,13,15.7,,driver,,,,
333,15,14.8,3.7,35.6,,cleaners,vehicles,equipment,,
8182,15,16.4,2.8,20,,transportation,material,moving,occupations,
103,15.4,8.7,2.5,7.4,,supervisor,manager,,,
270,15.4,16.4,2.4,15.6,,courier,messenger,,,
90,15.7,16,2.2,23.2,,worker,,,,
54,15.8,7.8,2.7,22,,operator,,,,
229,16.5,5.6,9.4,6,,network,computer,systems,administrators,
50,17.3,13.5,4.4,11.7,,job,printers,,,
63,17.4,3.1,11.5,1,,engineer,,,,
278,17.4,9.5,2.8,11.7,,manager,,,,
1700,17.4,16.9,3,21.3,,laborer,mover,,,
429,17.5,12.6,2.9,6.3,,clergy,,,,
55,17.6,10.7,1.9,19,,plastic,,,,
58,17.7,17.6,2.7,17,,operator,,,,
96,17.9,37.2,1.2,12.1,,barber,,,,
77,17.9,29.8,6.9,25.8,,porter,concierge,,,
254,17.9,3,4.4,9.4,,manager,,,,
52,18,12.9,2,18,,announcers,,,,
237,18.1,0.6,0.8,9.8,,manager,,,,
337,18.1,11.2,7.2,24.2,,metalworker,worker,,,
702,18.1,7.3,5.5,15.7,,supervisor,manager,worker,,
691,18.8,3.9,1.3,47.9,,worker,,,,
337,19,12,16.5,17.9,,chef,cook,,,
159,20,5,10.2,7.8,,engineer,,,,
993,20.8,28.8,3.4,15.9,,guard,officer,,,
1026,20.9,5.1,28,3.9,,engineer,,,,
246,21.1,10.5,4.2,38.5,,dishwasher,,,,
