TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
80,0.1,5.4,,11.6,,operator,,,,
115,0.2,9.6,0.3,44,,mason,finisher,worker,,
205,0.3,6.5,2.7,12.2,,mechanic,,,,
325,0.6,6.2,1,12.2,,mechanic,specialist,,,
58,0.7,0.9,0.5,4.9,,mechanic,,,,
66,0.8,3.4,3.9,9.8,,worker,,,,
635,0.9,8.7,1,17.3,,pipelayer,plumber,pipefitter,steamfitter,
239,0.9,12.7,0.7,34.1,,brickmason,blockmason,stonemason,,
105,1,11.4,2.4,9.6,,engineer,operator,,,
367,1,5.2,0.5,11.1,,engineer,operator,,,
213,1.1,6.9,0.4,49.6,,installer,taper,,,
120,1.1,13.2,1.4,11.9,,installer,repairer,,,
936,1.3,6.1,5,19,,technician,mechanic,,,
269,1.3,8.2,0.2,39.4,,roofer,,,,
351,1.5,5.3,2.1,13.1,,installer,,,,
1764,1.8,5.2,0.8,21.8,,carpenter,,,,
268,1.9,3.9,1.1,35.6,,installer,finisher,,,
781,2.1,6.5,1.2,13.6,,electrician,,,,
887,2.2,3.9,1.5,11.7,,worker,,,,
169,2.4,4.7,2.1,20.5,,repairer,,,,
8522,2.5,6.7,1,25,,construction,extraction,occupations,,
96,2.7,10.6,0.3,14.8,,worker,,,,
92,2.9,12.1,,10.1,,worker,,,,
86,3,2.8,0.8,3.7,,tool,die,makers,,
59,3.1,4.5,0.5,2.6,,millwrights,,,,
1234,3.2,8.9,1,38.1,,laborer,,,,
56,3.2,5,3.1,17.1,,repairer,,,,
135,3.4,6.2,2.6,15.5,,mechanic,technician,,,
434,3.7,7.3,2.6,10.1,,mechanic,,,,
65,3.9,5.6,2.4,14.8,,installer,,,,
152,4,4,0.9,12.8,,worker,,,,
65,4,18.3,1.3,8.2,,operator,,,,
300,4.1,8.6,2.1,17,,worker,,,,
86,4.4,1.5,0.8,18,,carpenter,,,,
445,4.4,6,3.8,10.9,,machinist,,,,
14582,4.5,6.9,1.8,22.1,,natural,resources,construction,maintenance,occupations
3276,4.5,13.4,1.4,15.8,,driver,worker,,,
5069,4.6,7.6,3,14.1,,installation,maintenance,repair,occupations,
142,4.8,12.4,4.2,16.7,,installer,repairer,,,
572,5,7.9,1.5,23.3,,worker,,,,
268,5.1,8.4,1.3,8.6,,fire,fighters,,,
118,5.3,1.7,1.5,3.2,,pilot,engineer,,,
121,5.3,8.9,0.7,36,,helper,,,,
311,5.8,4.2,6.5,3.9,,engineer,,,,
719,5.8,7.6,2.1,36.2,,painters,construction,maintenance,,
106,5.9,1.7,7,2.9,,manager,,,,
56,6.1,10.7,,9.1,,operator,,,,
851,6.4,2.4,1.7,8,,manager,,,,
1280,7.1,8.5,1.5,40.2,,worker,,,,
75,7.1,11.6,1.7,13.1,,worker,,,,
327,7.1,7.6,0.4,9.3,,repairer,,,,
530,7.5,22.2,0.5,25,,operator,,,,
58,7.8,15.5,,10.4,,conductor,,,,
343,7.9,4.8,12.3,4,,engineer,,,,
227,8.1,3.3,1.1,12.7,,worker,,,,
81,8.2,29.5,0.5,14.4,,collector,,,,
120,8.7,8.7,1.7,9.4,,attendant,,,,
74,11,15.5,1.1,26.2,,metal,plastic,,,
59,11.3,3.9,0.3,31.3,,worker,,,,
113,11.3,4.4,9.2,4.2,,engineer,,,,
293,11.7,7.7,11.7,4.6,,engineer,,,,
316,11.9,16.2,2.2,29.5,,cleaners,vehicles,equipment,,
369,12,11.8,6.7,9.5,,teller,repairer,,,
92,12.1,12.2,2.7,12.1,,technician,operator,,,
80,12.2,1,0.8,7.7,,technician,,,,
104,12.4,8.5,2.7,11.8,,inspector,,,,
147,12.4,7.2,3.6,9.4,,salesperson,,,,
96,12.7,7.4,19,5.8,,engineer,,,,
277,12.9,28.7,10.5,12.4,,driver,,,,
191,13.1,6.1,2.3,24.5,,worker,,,,
77,13.3,15.5,5.5,23,,attendant,,,,
664,13.3,15.7,1.6,12.7,,officer,,,,
235,13.6,14.7,4.1,10.7,,installer,repairer,,,
2760,13.8,4.9,8.4,5.7,,architecture,engineering,occupations,,
63,14,19.9,0.3,11.4,,operator,,,,
8491,14.7,16.1,2,18.3,,transportation,material,moving,occupations,
293,14.8,14.4,4.2,15,,courier,messenger,,,
241,14.9,7.1,2,8.2,,manager,,,,
403,15,11.6,5.1,6,,clergy,,,,
63,15.8,4.4,14.1,3.4,,engineer,,,,
1797,16.2,17,2.2,20.6,,laborer,mover,,,
54,16.5,5.7,0.6,7.8,,repairer,,,,
70,17.5,11.1,5.6,25.1,,porter,concierge,,,
98,17.7,2.5,0.7,4.5,,estimator,,,,
220,17.8,15.4,4,13.3,,supervisor,worker,,,
280,18,4.7,1.2,6.7,,manager,,,,
101,18.4,34.9,3.9,6.6,,barber,,,,
177,18.8,4.9,6.1,5.4,,engineer,,,,
299,18.9,11.5,10.7,20.9,,chef,cook,,,
53,19.3,15.4,7.6,9.3,,operator,,,,
195,19.3,8.7,2.5,15.2,,operator,,,,
304,19.6,12.1,4.1,44.3,,worker,,,,
416,19.7,5.9,5.8,8.8,,technician,drafter,,,
53,20,6.5,5.2,4.9,,repairer,,,,
199,20.1,0.1,0.2,9.9,,manager,,,,
921,20.1,9.6,4.4,11.6,,worker,,,,
111,20.1,14.1,1.6,16.6,,worker,,,,
121,20.2,17.1,1.6,7.3,,investigator,,,,
190,20.3,8.5,6.9,6.1,,network,computer,systems,administrators,
991,20.6,5.4,2.1,39,,farming,fishing,forestry,occupations,
64,21.1,12.4,7.8,33.9,,worker,helper,,,
65,21.2,11.2,6.2,18,,job,printers,,,
133,21.2,10.2,1.4,6.5,,supervisor,manager,,,
54,21.6,9.3,1.9,12.6,,announcers,,,,
2847,21.7,17.9,1.9,11.1,,protective,service,occupations,,
312,21.9,8,7.7,7,,analyst,,,,
167,22,5,11.7,4.1,,dentists,,,,
798,22.6,28.4,2.7,14.5,,guard,officer,,,
73,22.7,0.3,2.8,1.9,,chiropractors,,,,
17954,23,13.9,3.8,19.2,,production,transportation,material,moving,occupations
1680,23.3,3.2,3.4,3.7,,chief,executives,,,
206,23.7,5,4.8,9.9,,drafter,,,,
267,23.8,14.5,3.4,34.3,,dishwasher,,,,
207,24,2.6,5.8,7.1,,architect,,,,
70,24.9,4.2,1.5,18.8,,plastic,,,,
813,25,5.3,24.2,4.1,,engineer,,,,
817,25.2,0.4,0.5,1.8,,farmers,ranchers,,,
1416,25.5,3.5,2.9,7.2,,sales,representatives,wholesale,manufacturing,
83,25.6,9.9,2.9,26.4,,worker,,,,
331,26.6,5.8,4.1,2.9,,advisor,,,,
564,26.7,6.9,14.1,3.9,,programmer,,,,
795,26.7,5.8,3.5,7.1,,manager,,,,
3140,27,7.5,14,5.5,,computer,mathematical,occupations,,
86,27.3,5.1,1.5,2.3,,scientist,geoscientist,,,
1390,28.1,5.4,5.7,9.6,,supervisor,worker,manager,,
584,28.1,15.9,3.1,22.9,,clerk,,,,
373,28.4,20.2,1.4,10.3,,bailiff,officer,jailer,,
139,28.4,8.9,1.5,16.3,,tenders,metal,plastic,,
382,28.5,7,3.9,6.2,,securities,commodities,financial,services,sales
830,29.4,6.1,16.5,5.3,,surgeon,,,,
954,29.4,4.7,2.9,3.4,,lawyer,,,,
700,29.4,9.8,10.1,6.6,,scientist,analyst,,,
325,29.7,9.2,7.9,8.7,,specialist,,,,
9462,30.4,11.9,5.3,20,,production,occupations,,,
337,31,4.9,7.3,5.2,,manager,,,,
59,31.1,1.6,14,15,,worker,,,,
138,31.2,2.4,2.1,4,,appraiser,,,,
239,31.6,7.8,2.2,5.4,,worker,,,,
137,32.3,8.4,3.4,8.8,,producers,directors,,,
141,32.5,7,14.8,4.3,,chemist,scientist,,,
139,32.7,9,1.5,8.9,,technician,paramedic,,,
81,33.1,7.8,2.2,8.8,,investigator,,,,
2047,33.2,17.8,3.3,26.8,,janitor,,,,
84,33.3,10.6,7.8,6.3,,technician,,,,
94,33.6,5.5,16.5,3.3,,database,administrators,,,
87,34.6,7.6,2.5,9,,manager,,,,
179,36.4,8.6,3.4,5.4,,worker,,,,
14555,36.7,5.9,4,6.3,,management,occupations,,,
336,37.1,14.6,5,6.9,,postal,service,mail,carriers,
1350,37.4,14.8,3.8,15.8,,clerk,,,,
158,37.6,8,6.6,7.1,,photographers,,,,
690,38,11,5.7,13.3,,inspector,,,,
170,39.1,5.6,2.9,6.3,,manager,,,,
476,39.4,7.1,1.9,7.4,,sales,representatives,services,,
55,39.9,22.6,2.4,18.1,,machine,feeders,offbearers,,
806,40.4,3.4,3.7,4.8,,manager,,,,
5185,40.5,14.9,3.1,32,,building,grounds,cleaning,maintenance,occupations
191,40.6,19.6,0.9,20.2,,worker,,,,
1791,40.6,16.2,5.8,28,,cook,,,,
916,41.2,8.2,12.1,11.1,,manager,,,,
554,41.8,6.9,4.7,4.3,,analyst,,,,
20235,42.1,7,4.5,6.4,,management,business,financial,operations,occupations
140,42.3,8.2,1.5,8.2,,supervisor,worker,manager,,
3299,43,7.1,4.6,9.2,,supervisor,worker,manager,,
90,43,9.4,10.6,5.9,,analyst,,,,
1365,43,5.6,9.2,5.1,,life,physical,social,science,occupations
116,43.2,29.8,15.2,12,,operator,,,,
508,44.7,6.3,2.8,6.1,,insurance,sales,agents,,
379,45,8.8,5.5,27.6,,attendant,helper,bartender,,
123,45.2,3.1,12.7,2.2,,scientist,,,,
