TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
51,0,2.2,0,63.2,,mason,finisher,worker,,
121,0,9.5,1,35.6,,brickmason,blockmason,stonemason,,
67,0.6,14.6,4.5,15.3,,worker,,,,
259,0.9,4.2,0.4,64.7,,roofer,,,,
58,1.2,14.1,0,22.2,,installer,,,,
55,1.3,4.9,0,8.9,,supervisor,worker,,,
369,1.8,7.1,2.2,22.6,,mechanic,specialist,,,
901,1.8,11.2,3.4,27.6,,technician,mechanic,,,
122,1.9,4,0.2,68.5,,installer,taper,,,
561,2.7,10.4,4.4,26.7,,mechanic,installer,,,
624,3.1,7.1,2.8,30.3,,plumber,pipefitter,steamfitter,,
1178,3.1,5.8,1.1,43.3,,carpenter,,,,
329,3.3,5.6,3.9,16.6,,mechanic,,,,
1063,3.5,9.3,3,25,,electrician,,,,
788,3.7,5.2,1.3,28.3,,supervisor,worker,,,
144,3.8,12.4,0,18.2,,installer,repairer,,,
108,4.1,19.3,2.4,21.5,,engineer,operator,,,
130,4.2,8.5,1.5,32.5,,repairer,,,,
8490,4.3,7,1.8,41.7,,construction,extraction,occupations,,
168,4.3,6.5,1.5,16.9,,technician,mechanic,,,
59,4.5,12.7,3.8,21.2,,operator,,,,
404,4.6,8.3,1.1,21.9,,operator,,,,
5060,4.7,10,3.4,22.2,,installation,maintenance,repair,occupations,
2382,4.7,7.3,2,55.2,,laborer,,,,
148,4.9,7.1,2.3,17.1,,worker,,,,
352,5.1,8.2,0.5,11.3,,firefighter,,,,
717,5.2,12.3,3.8,21.1,,worker,,,,
101,5.2,11.5,0.2,53.8,,tree,trimmers,pruners,,
56,5.5,20.9,0.7,7.8,,conductor,,,,
105,5.5,8.7,0,55.4,,installer,finisher,,,
573,5.8,8,3,29.8,,worker,,,,
309,5.8,9,5.4,13,,machinist,,,,
106,5.8,6.1,1,31.3,,mechanic,installer,repairer,,
14550,6,7.8,2.3,35.4,,natural,resources,construction,maintenance,occupations
285,6.1,7.8,2.7,14.8,,supervisor,installer,repairer,mechanic,
61,6.4,5.2,0.5,20,,worker,,,,
53,6.5,12.1,0.6,35.2,,helper,,,,
52,6.9,11,2.1,47.2,,repairer,,,,
201,7,1.6,3.8,6.9,,pilot,engineer,,,
211,7.2,4.9,2.8,22.5,,worker,,,,
79,7.4,10.3,5.7,17.2,,technician,,,,
3583,7.7,20.2,4.5,25.8,,driver,worker,,,
77,7.8,14.9,6.5,11.4,,operator,programmer,,,
1114,7.9,10.4,0.9,47.5,,worker,,,,
96,8,11,19.7,13.7,,architect,,,,
165,8.1,9.1,8.4,17.9,,mechanic,technician,,,
640,8.1,22,1.8,38.3,,operator,,,,
118,8.3,6.3,2.8,19.1,,operator,,,,
1199,8.5,5.6,2.9,20.1,,manager,,,,
93,8.8,16.3,0.4,9.1,,worker,,,,
173,8.9,7.8,4.3,31.6,,worker,,,,
288,9.4,9.1,1.9,28.2,,supervisor,worker,,,
140,9.4,13.5,4.6,21.5,,installer,repairer,,,
110,9.6,13.2,3.2,18,,installer,repairer,,,
284,10.1,3.6,20.6,10.6,,engineer,,,,
121,10.5,8.7,5.2,19.7,,technician,,,,
53,10.8,12.4,3.9,40.4,,operator,,,,
197,10.8,3.7,16.8,8.6,,manager,,,,
168,10.9,4.5,6.9,15.4,,engineer,,,,
485,11.1,4.7,2,58.2,,painters,paperhangers,,,
419,11.2,2.4,11.5,10.9,,engineer,,,,
52,12.2,5.1,2.9,14.8,,technician,,,,
120,12.6,10,3.7,25.3,,inspector,,,,
127,12.7,24.2,4.4,33.1,,collector,,,,
55,12.8,8.1,0,8,,operator,,,,
132,13.7,13.2,9.8,11.8,,teller,repairer,,,
575,13.9,25.6,22,28.1,,driver,,,,
58,15.2,0,9,11.6,,engineer,,,,
92,15.6,12.1,2,20.3,,attendant,,,,
261,15.9,13.8,10.6,11.3,,analyst,,,,
55,16,6.8,4.6,13.6,,repairer,,,,
129,16.2,3,1.8,22.5,,salesperson,,,,
415,16.3,13.4,6.5,15.3,,manager,,,,
705,16.4,13.1,3.6,24.2,,officer,,,,
107,16.6,7.8,0,19.7,,supervisor,,,,
307,17.4,13.7,6.2,23,,worker,,,,
141,17.7,29,2.6,43.4,,barber,,,,
685,17.9,6.2,20.9,10.2,,engineer,,,,
50,18.1,2.5,0,38.3,,supervisor,worker,,,
144,18.2,27.2,3.3,21.3,,operator,,,,
154,18.2,17.3,8.5,15.3,,network,computer,systems,administrators,
381,18.5,6.6,20.9,9.2,,programmer,,,,
77,18.8,14.9,0.5,19.6,,worker,,,,
128,18.9,11.4,2.9,12.9,,manager,,,,
3675,19.3,6.2,15.1,11.7,,architecture,engineering,occupations,,
80,19.8,11.1,9,32.3,,porter,concierge,,,
56,19.8,2.4,24,11.2,,engineer,,,,
142,20,13.2,5.8,22.4,,operator,,,,
749,20.2,12.5,4.6,19.9,,supervisor,worker,,,
2254,20.3,5.4,39.8,6.1,,developer,,,,
146,20.5,3.2,4.3,14.3,,estimator,,,,
76,20.7,29.3,11,18.7,,attendant,,,,
396,20.7,17.2,2.1,41.2,,cleaners,vehicles,equipment,,
11881,21.5,20,5.3,27.4,,transportation,material,moving,occupations,
50,21.5,26.9,2,7.7,,supervisor,officer,,,
525,21.8,9,10.7,12.5,,engineer,,,,
199,21.8,7.6,14,6.8,,securities,commodities,financial,services,sales
255,22.1,21.4,6.3,27.8,,worker,,,,
71,22.2,16.5,2.1,31,,worker,,,,
94,22.5,5.4,46.7,7.1,,engineer,,,,
345,22.8,4.8,10.5,13.9,,manager,,,,
962,22.9,36,4.7,21.3,,guard,officer,,,
245,23,15.3,4.9,35,,dishwasher,,,,
3344,23.3,20.7,3.4,19,,protective,service,occupations,,
274,23.3,7.1,16.3,11,,engineer,,,,
405,23.7,11.6,5.3,6.1,,clergy,,,,
79,23.9,4.8,6.9,11.6,,drafter,,,,
19770,24.2,17.7,5.5,26.8,,production,transportation,material,moving,occupations
2203,24.6,19.7,4,30.1,,laborer,mover,,,
85,24.9,1.9,20.1,5.6,,engineer,,,,
385,25.1,10.9,10.9,16.3,,technician,drafter,,,
646,25.1,4.5,20,7,,manager,,,,
810,25.7,1.7,0.8,7.1,,manager,,,,
296,25.8,28.2,1.7,15.6,,officer,jailer,,,
73,25.9,6.2,20.4,1.3,,surgeon,,,,
1181,26,12.9,18.2,9.5,,computer,occupations,,,
516,26.4,18.9,15.1,26.2,,chef,cook,,,
1000,26.8,3.8,0.9,48.1,,farming,fishing,forestry,occupations,
765,27,3,0.7,52.3,,worker,,,,
6711,27.5,9.5,25.2,8.7,,computer,mathematical,occupations,,
302,27.8,12.4,8.5,22.9,,supervisor,worker,,,
85,28,11.8,8.1,18.7,,supervisor,worker,,,
7889,28.4,14.2,5.7,25.9,,production,occupations,,,
58,28.5,16.6,6.5,8.5,,music,directors,composers,,
117,28.5,5,12.5,10.6,,paramedic,,,,
949,28.7,21.2,4.8,27.8,,courier,messenger,,,
677,29.1,13.1,14,9.2,,specialist,,,,
82,29.4,24.3,13.6,17.8,,driver,,,,
1145,29.7,7.3,4.7,15,,sales,representatives,wholesale,manufacturing,
254,29.8,4.4,15.2,10.5,,architect,,,,
1286,29.9,18.7,5,30.4,,worker,,,,
695,30.2,10.2,4.9,10.8,,sales,representatives,services,advertising,insurance
129,30.6,8.6,6.4,9.9,,operator,editor,,,
66,31.1,2.4,3.5,16.8,,chiropractors,,,,
106,31.1,5.5,19.7,5.1,,chemist,scientist,,,
155,31.6,12.8,3.6,15.3,,investigator,,,,
873,32.4,18,6.9,22.4,,assembler,,,,
576,32.8,7.6,8,8.3,,advisor,,,,
50,32.8,4,29,3.5,,statisticians,,,,
52,32.8,9.5,11.3,31,,transportation,security,screeners,,
1802,33,5.6,7,8.4,,chief,executives,,,
563,33.2,5,6.1,13.5,,manager,,,,
119,33.3,22,4.2,34.2,,worker,,,,
1036,33.6,8.8,8.5,16.1,,supervisor,worker,,,
604,33.7,16.7,7.4,24.9,,clerk,,,,
167,34.1,9.1,3.4,14.8,,musicians,singers,,,
1379,34.4,8.4,4,14.1,,manager,,,,
1696,35.7,19.4,5.4,23.6,,stockers,order,fillers,,
371,35.8,24.9,9.1,14.7,,postal,service,mail,carriers,
737,35.8,13.9,8.6,22.4,,inspector,,,,
75,36,16.9,6.9,15.1,,technician,,,,
2341,36.2,18,2.9,35.6,,janitor,,,,
148,36.3,6.5,22.3,6.8,,architect,,,,
209,36.7,19.3,4.7,21.3,,logisticians,,,,
268,36.7,32.2,3,21.4,,driver,,,,
66,36.8,10.7,8.4,11.4,,developer,,,,
55,37.2,1.6,8.7,29.2,,technician,,,,
55,37.4,16,2.8,19,,guard,,,,
97,37.5,10.3,28.2,11,,worker,,,,
5471,37.7,8.3,8,13.6,,manager,,,,
65,38.6,10.4,1.3,16.3,,manager,,,,
192,38.6,3.9,15.5,14.8,,dentists,,,,
70,39.2,10.9,0,7.1,,appraiser,,,,
1084,40.7,9.1,13,9.6,,analyst,,,,
135,40.9,6,2.3,18.9,,technician,,,,
86,41.1,11.7,7,6.1,,analyst,reporter,,,
5708,41.3,15,3,40.7,,building,grounds,cleaning,maintenance,occupations
929,41.7,5.6,25.5,6.6,,physicians,,,,
422,41.8,9,15.7,8.9,,analyst,,,,
486,41.8,7.9,23.2,11.2,,mathematical,science,occupations,,
20876,41.8,8.8,7.4,13.5,,management,occupations,,,
161,41.9,9.2,13.9,19,,clerk,,,,
362,42.6,10.4,30.8,7,,scientist,,,,
73,42.7,25.5,5.4,13.4,,clerk,,,,
1146,42.9,5.9,6,9.2,,lawyer,,,,
67,43.6,22.6,3.8,20.6,,officer,specialist,,,
56,43.6,1.4,0.6,8.7,,tour,travel,guides,,
216,43.6,13.8,4.6,14.8,,producers,directors,,,
2099,43.7,17.3,5.6,39.2,,cook,,,,
1150,43.7,11.1,11.2,10,,specialist,,,,
2977,43.9,10.5,7.3,16.4,,supervisor,worker,,,
138,44,8.6,4.4,15.2,,advertising,sales,agents,,
569,44,15,19.9,10.7,,analyst,,,,
154,44.5,21.8,4.7,18.2,,investigator,,,,
125,44.8,30.3,7.4,13.7,,clerk,,,,
256,44.9,15,4.7,34.2,,attendant,helper,bartender,,
212,45.4,7.7,8.7,14.8,,clerk,,,,
379,45.6,4.5,9.9,15.1,,designers,,,,
31049,45.6,9.5,8.1,13.1,,management,business,financial,operations,occupations
63,46.1,2.7,8.4,12,,scientist,specialist,,,
194,46.4,4.9,3.1,15.4,,worker,,,,
222,46.8,5.1,6,16.1,,manager,,,,
54,46.9,10.1,9.4,4.9,,writer,,,,
2661,47,13,6,20.4,,salesperson,,,,
163493,47.1,12.7,7.5,20,,,,,,
476,47.3,10,5.2,17.7,,worker,,,,
14159,47.4,11.5,6.6,18.7,,sales,occupations,,,
362,47.4,10.6,4.1,9.8,,coaches,scouts,,,
63,47.8,6,1.7,15.9,,worker,,,,
100,47.8,3.5,10.2,6.7,,scientist,,,,
354,48.5,16.3,4,33.4,,supervisor,worker,,,
63,48.5,22.8,8.7,13.6,,clerk,operator,,,
113,48.8,10,21.8,24.4,,assembler,,,,
1159,48.8,11.2,11.7,20.9,,manager,,,,
224,49.2,13.4,2.6,19.2,,attendant,worker,,,
1858,49.4,8.3,15.4,10.5,,life,physical,social,science,occupations
68,49.5,17.1,3.7,41.5,,worker,helper,,,
83,49.8,12.5,2.6,16.2,,specialist,technician,,,
254,49.9,10.8,8,28.5,,worker,,,,
296,50,8.4,6.1,13.7,,purchasing,agents,wholesale,retail,farm
352,50.1,12,3.5,14.1,,counselor,officer,,,
3504,50.4,8,6.3,13.6,,arts,design,entertainment,sports,media
57,50.5,18.2,4.8,13.1,,worker,,,,
790,50.6,12.3,5.1,16,,manager,,,,
72,50.6,7.2,34.3,7.3,,analyst,,,,
216,50.7,1.8,3.9,15.1,,photographers,,,,
60,51.7,4.2,1.7,16.4,,manager,,,,
210,51.8,27.1,0.7,17.5,,driver,,,,
71338,52.2,10.2,10.2,12.4,,management,professional,occupations,,
1058,52.3,6.6,13.3,7.9,,teacher,,,,
179,52.4,8.3,4.2,14.5,,wholesale,retail,buyers,farm,products
618,52.4,10.1,6.2,17.2,,insurance,sales,agents,,
117,52.5,6.5,9.1,20.1,,manager,,,,
312,52.7,11.9,12.3,13.9,,officer,,,,
10173,53.2,11.1,9.4,12.4,,business,financial,operations,occupations,
582,53.5,20.2,6.2,46.3,,packers,packagers,hand,,
61,53.7,16,11.9,6.2,,manager,,,,
1431,53.7,9.6,10,13.3,,manager,,,,
178,53.9,13.3,8.5,12.6,,analyst,,,,
91,53.9,12.6,9.9,24.1,,weighers,measurers,checkers,samplers,recordkeeping
285,54.2,6.8,10.1,13.2,,graphic,designers,,,
210,54.4,17.7,5.3,13.9,,specialist,,,,
52,55.3,26,3.1,14.7,,examiner,collector,,,
102,55.6,5.8,34.2,7.3,,scientist,,,,
8292,55.7,14.9,6.4,30.1,,food,preparation,serving,occupations,
1065,55.8,9.2,6.3,17.4,,real,estate,brokers,sales,agents
1880,56,8.2,5.9,12.8,,legal,occupations,,,
68,56.2,18,0.9,11.9,,manager,,,,
242,56.4,19.7,5.8,47,,operator,,,,
790,56.5,8.2,2.9,9.2,,teacher,,,,
79,56.7,14.6,4.7,18.9,,worker,,,,
115,56.7,7.4,6.4,15.7,,specialist,,,,
930,56.8,17.3,5.7,30.6,,worker,,,,
69,57,6.1,12.2,12.2,,web,digital,interface,designers,
432,57.2,7.4,3.3,19.2,,bartender,,,,
40289,57.3,10.6,11.9,11.8,,professional,occupations,,,
134,57.3,14.3,5.1,23.7,,tax,preparers,,,
96,57.5,41.7,12.2,10.9,,clerk,,,,
27230,57.8,17.8,6.1,27.6,,service,occupations,,,
389,58.2,21.8,6.5,11.7,,appraiser,examiner,investigator,,
527,58.2,17.8,4.3,23.1,,supervisor,worker,,,
87,58.3,12.6,5.4,25.5,,clerk,,,,
1766,59.1,10.3,12.7,11.5,,accountant,auditor,,,
142,59.3,7.7,3.2,11.4,,underwriter,,,,
669,59.4,5.7,9.9,11.5,,manager,,,,
386,59.7,10.5,13.8,12.6,,technician,,,,
30604,59.8,13.4,6.1,19.4,,sales,office,occupations,,
302,59.9,7.6,6.7,14.4,,worker,,,,
130,60.2,9.9,2.3,9.5,,assistant,aide,therapist,,
67,60.3,4.8,22,12.5,,analyst,,,,
58,61,15.7,0.5,66,,graders,sorters,agricultural,products,
75,61.3,11,11.2,12.3,,technician,,,,
61,61.4,27.6,5.1,10.1,,specialist,,,,
82,61.6,4.9,5.7,7.8,,worker,,,,
595,61.6,12.6,9.4,15.4,,specialist,,,,
180,61.7,15.3,1.5,24.7,,dispatchers,police,fire,ambulance,
542,62.3,8.1,10.7,11.7,,analyst,specialist,,,
277,62.5,9.5,6.4,36.7,,baker,,,,
126,62.6,22.2,14,17.1,,technician,,,,
365,62.7,10,22.8,6.1,,pharmacist,,,,
147,62.7,12.7,3.7,18.1,,worker,,,,
113,63.2,7.8,6.4,7.7,,editor,,,,
52,63.2,43.5,11.2,16.1,,operator,,,,
78,64.1,0.5,2.4,1.5,,technician,,,,
184,64.3,13.4,15.4,19,,manager,,,,
2600,64.8,17.7,5.6,22.5,,customer,service,representatives,,
82,65,7.4,1.4,5.2,,directors,religious,activities,education,
64,65.2,13.4,19,9.6,,magnetic,resonance,imaging,technologists,
89,65.2,20.4,10.6,18.5,,therapist,,,,
959,65.7,13.9,7.3,26.9,,worker,,,,
274,65.7,7.7,8.1,13.7,,technician,,,,
135,65.9,10.3,4.9,14.5,,specialist,,,,
281,66.1,8.6,4.1,17.9,,instructor,,,,
1052,66.4,16.2,4.4,14.3,,education,childcare,administrators,,
234,66.8,7.7,4.3,7,,writer,,,,
97,66.9,3.7,14.9,44.2,,interpreters,translators,,,
338,66.9,3.3,13.5,4.8,,therapist,,,,
111,67,16.9,1.5,21.6,,collector,,,,
93,67,14.3,4.6,31.2,,food,batchmakers,,,
313,67.2,16,12.7,16.2,,technician,,,,
1018,67.3,12,7.4,14.3,,teacher,instructor,,,
170,67.3,11,1.7,11,,worker,,,,
101,67.7,13.8,9.4,15.3,,clerk,,,,
60,67.8,29.2,3,14.1,,aide,,,,
2490,68.5,17.2,7.1,26.2,,cashier,,,,
1382,68.6,11,4,15.7,,supervisor,worker,,,
139,68.9,14.1,6.3,14,,practitioner,,,,
2846,69,18.2,4.1,14.7,,community,social,service,occupations,
113,69.3,5.1,6.1,15.8,,manager,,,,
1754,69.8,11.9,6.4,27.9,,waiter,,,,
137,69.8,18.9,9.9,33.7,,worker,,,,
229,70.4,20.2,9,15.9,,data,entry,keyers,,
205,70.4,28.3,7.8,17.6,,worker,,,,
16444,70.5,14.9,5.6,20,,office,administrative,support,occupations,
78,70.7,5.9,9.1,12.3,,fundraisers,,,,
68,70.7,20.9,8.4,6.8,,technician,,,,
67,70.7,19.2,9.9,7.5,,technician,,,,
91,70.9,1.6,9.6,6.8,,veterinarian,,,,
152,71.3,4.8,5.1,6.7,,psychologist,,,,
