TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
71,0.3,1.8,,15.5,,worker,,,,
350,0.7,5.9,1.9,15.4,,installer,,,,
339,0.8,6.6,1.4,11.6,,mechanic,specialist,,,
218,0.9,11.3,1,33.6,,brickmason,blockmason,stonemason,,
111,0.9,6.1,1.1,8.7,,installer,repairer,,,
200,0.9,5.3,0.2,10.7,,mechanic,,,,
595,1,7.1,1.2,14.2,,pipelayer,plumber,pipefitter,steamfitter,
53,1,17.1,2.3,48.4,,mason,,,,
233,1.3,7,1.6,33.1,,roofer,,,,
884,1.3,6.9,3.4,16.5,,technician,mechanic,,,
376,1.5,7.8,0.1,11.7,,engineer,operator,,,
1595,1.6,5.8,0.8,24.5,,carpenter,,,,
88,1.6,3.6,,11.3,,operator,,,,
205,2,5.1,0.2,46.8,,installer,taper,,,
774,2.1,7,1.5,10.8,,electrician,,,,
113,2.1,9.2,2.6,9.7,,engineer,operator,,,
79,2.2,10.2,0,12.3,,worker,,,,
460,2.3,7.5,2,10.1,,mechanic,,,,
203,2.4,4,5,23.8,,repairer,,,,
897,2.5,4.1,0.5,12.6,,worker,,,,
120,2.5,8.2,0.3,38.4,,mason,finisher,worker,,
128,2.6,6,6.3,11.4,,mechanic,technician,,,
271,2.6,5.1,0.4,32.6,,installer,finisher,,,
309,2.7,7.2,1.6,14.8,,worker,,,,
8114,2.8,7.1,1,23.7,,construction,extraction,occupations,,
1151,3,9.9,1,35,,laborer,,,,
116,3.4,0.7,1.5,4.3,,pilot,engineer,,,
61,3.5,21,,5.4,,operator,,,,
60,3.5,6,7.1,17.3,,installer,,,,
258,3.6,8.2,0.4,6.2,,fire,fighters,,,
114,3.7,8.6,1.5,37,,helper,,,,
73,3.7,2.1,,1.8,,millwrights,,,,
79,4.1,13.1,,15.5,,worker,,,,
88,4.1,2.1,,3.6,,tool,die,makers,,
5041,4.2,7.8,2.5,13.4,,installation,maintenance,repair,occupations,
3214,4.6,12.8,1.6,15,,driver,worker,,,
147,4.6,6.5,1.8,12.5,,worker,,,,
14205,4.7,7.2,1.6,21.3,,natural,resources,construction,maintenance,occupations
454,4.8,7.1,4.9,12.9,,machinist,,,,
53,5,9.9,0.8,5.7,,conductor,,,,
70,5.1,2.4,,23.9,,carpenter,,,,
223,5.5,5.4,1.7,17.6,,worker,,,,
285,5.5,2.2,8.3,3.7,,engineer,,,,
61,5.8,13.1,,2.8,,operator,,,,
680,5.9,3.6,1.5,6.2,,manager,,,,
53,6.1,7.1,1.5,19,,glaziers,,,,
81,6.1,5,0.8,7.4,,worker,,,,
138,6.6,17.2,0.3,10.5,,installer,repairer,,,
660,6.7,7.3,1.8,33,,painters,construction,maintenance,,
1135,6.9,9.3,1.1,37.1,,worker,,,,
528,6.9,10.6,1.7,18.1,,worker,,,,
363,7.1,4.4,13.6,2.4,,engineer,,,,
63,7.7,28.1,1.1,25.1,,collector,,,,
