TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
58,0,9.5,0,48.7,,mason,finisher,worker,,
54,0,3.9,0,32.1,,operator,,,,
74,0.2,8.4,1,11.2,,operator,,,,
323,0.3,7.8,0.6,15.6,,mechanic,specialist,,,
93,0.3,10.1,2.4,28,,mechanic,installer,repairer,,
206,0.5,4.3,0.5,58.1,,roofer,,,,
211,0.5,3.8,0.6,15.5,,technician,mechanic,,,
142,0.7,8.1,0.3,43.9,,brickmason,blockmason,stonemason,,
378,1.2,8.5,2.4,16.4,,mechanic,installer,,,
67,1.3,0.7,0,3.8,,tool,die,makers,,
883,1.4,9,4.5,24.1,,technician,mechanic,,,
55,1.4,14,0,5.6,,engineer,operator,,,
123,1.5,9.3,0,17.1,,worker,,,,
92,1.5,5.7,0,29.1,,worker,,,,
68,1.5,2.3,0,22.4,,operator,,,,
564,1.6,6.9,1.6,21.4,,pipelayer,plumber,pipefitter,steamfitter,
133,1.6,5.9,1.7,18.3,,repairer,,,,
1282,1.7,5,1.4,31.9,,carpenter,,,,
336,1.8,6.8,0.1,16.9,,engineer,operator,,,
52,2,10.8,0,23.4,,worker,,,,
96,2,7,4.3,15.2,,engineer,operator,,,
162,2.1,1.8,0.3,61.5,,installer,taper,,,
50,2.1,5.3,3.2,9.5,,mechanic,,,,
170,2.3,4.8,3.6,44.2,,installer,finisher,,,
696,2.4,5.7,1.1,18.9,,supervisor,worker,,,
769,2.4,6.5,1.8,18.2,,electrician,,,,
1686,2.5,9.4,1.8,42.1,,laborer,,,,
7637,2.6,6.9,1.3,32.3,,construction,extraction,occupations,,
454,2.8,6.3,1.7,13.3,,mechanic,,,,
115,3,5.2,0.9,7.8,,installer,repairer,,,
471,3.2,9.9,3.6,17.2,,worker,,,,
127,3.3,9,6.9,12.5,,mechanic,technician,,,
4879,3.5,8.4,3.3,16.8,,installation,maintenance,repair,occupations,
80,3.7,10.9,0.5,17,,worker,,,,
13537,4.4,7.3,2.1,27.6,,natural,resources,construction,maintenance,occupations
184,4.4,12.1,4.7,17.3,,installer,repairer,,,
391,4.5,3.9,4.1,15.4,,machinist,,,,
72,4.5,10.7,2.3,14.7,,operator,,,,
57,4.7,12.1,0,45.6,,helper,,,,
210,4.8,8.3,1.4,22.7,,supervisor,worker,,,
615,4.8,8.8,2,22.4,,worker,,,,
284,4.8,8.4,3.3,11.2,,supervisor,installer,repairer,mechanic,
110,5.2,5.2,0.8,10.2,,worker,,,,
224,5.2,5.1,2.7,23.4,,worker,,,,
71,5.4,8.4,1.5,11.8,,worker,,,,
51,5.6,13.4,1.9,19.2,,repairer,,,,
300,5.7,10.2,0.7,9.6,,firefighter,,,,
3406,5.8,15.6,2.5,20.5,,driver,worker,,,
63,5.8,10.7,0.5,10.3,,operator,,,,
561,6,7.3,1.4,48.2,,painters,construction,maintenance,,
1389,6.3,8.3,1.7,43.6,,worker,,,,
133,7.2,1.9,0.5,2.7,,pilot,engineer,,,
711,7.4,3.7,2.3,10.2,,manager,,,,
564,7.4,24.4,2.2,29.3,,operator,,,,
134,7.4,12.5,6.3,8.7,,installer,repairer,,,
97,7.5,13.7,15.7,21.9,,attendant,,,,
58,7.5,9,1.7,26.2,,installer,,,,
122,7.6,2.7,9.9,8.4,,manager,,,,
58,7.8,6.2,1.6,9.3,,supervisor,worker,,,
71,8.1,2.3,2.2,14.7,,programmer,operator,,,
84,8.6,19,0.8,36.8,,collector,,,,
303,8.8,3.3,9.9,5.6,,engineer,,,,
61,8.9,16.1,2.3,16.1,,operator,,,,
77,9.7,6.8,0.8,9.4,,technician,,,,
51,9.9,5.6,2.4,27.8,,carpenter,,,,
78,10.5,26.3,9.9,28.7,,attendant,,,,
406,11.7,4.4,18.2,8,,engineer,,,,
69,11.7,14.1,3.5,22.4,,worker,,,,
78,12.2,3.3,2.3,5.3,,inspector,,,,
271,12.3,3.9,21.4,5.3,,engineer,,,,
680,12.4,15.6,1.8,13.2,,officer,,,,
375,12.4,22.5,1.9,33.4,,cleaners,vehicles,equipment,,
123,12.4,7.4,17.3,6.3,,architect,,,,
383,12.7,28.8,13.9,16.5,,driver,,,,
156,12.7,8.1,4.3,27,,worker,,,,
