TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
60,0.7,7,0.5,13.5,,operator,,,,
70,1,7.6,0,52.5,,mason,finisher,worker,,
610,1.1,8.9,2.2,28.2,,plumber,pipefitter,steamfitter,,
66,1.1,16.5,0,16.1,,worker,,,,
347,1.2,7.6,1.8,21.5,,mechanic,specialist,,,
224,1.2,4.2,0.2,17.7,,technician,mechanic,,,
119,1.5,5.2,0.9,12.1,,installer,repairer,,,
369,1.7,5.4,0.7,18.9,,operator,,,,
918,2.2,7.3,2,24.9,,electrician,,,,
51,2.2,7.9,2,6.6,,mechanic,,,,
472,2.3,10.2,1.6,22.4,,mechanic,installer,,,
52,2.4,2.3,0,60.2,,pipelayer,,,,
50,2.5,5,0,28.6,,worker,,,,
161,2.8,0.8,2.2,70.3,,installer,taper,,,
926,2.9,8.6,2.7,28.2,,technician,mechanic,,,
119,3,8.7,1.3,46.9,,brickmason,blockmason,stonemason,,
401,3.1,8.9,2.4,17.3,,mechanic,,,,
85,3.3,12.4,6.5,13.8,,engineer,operator,,,
1282,3.5,5.5,1.9,41.8,,carpenter,,,,
151,3.7,3.6,3.5,28.9,,repairer,,,,
52,3.8,17.2,3.5,3.2,,engineer,operator,,,
108,3.9,12.9,0,18.1,,worker,,,,
4853,4.2,8.5,2.4,21.6,,installation,maintenance,repair,occupations,
8427,4.2,7.1,1.6,40.3,,construction,extraction,occupations,,
661,4.3,4.1,1.6,25.6,,supervisor,worker,,,
81,4.5,5.4,1.7,21,,mechanic,installer,repairer,,
149,4.6,7.1,6.4,19.3,,mechanic,technician,,,
134,4.9,8.4,0.9,22.5,,installer,repairer,,,
2227,4.9,8.4,1.9,50.7,,laborer,,,,
208,5,6.9,0,66.5,,roofer,,,,
550,5.1,10.2,2.9,25.5,,worker,,,,
131,5.1,7,1.1,21.8,,worker,,,,
245,5.3,5.4,2,12,,supervisor,installer,repairer,mechanic,
646,5.4,11.7,2.8,23,,worker,,,,
54,5.4,3.2,1,48.4,,helper,,,,
67,5.7,8.6,3.1,30.4,,installer,,,,
14260,5.7,7.4,1.9,34.2,,natural,resources,construction,maintenance,occupations
52,5.9,15.8,0,44,,worker,,,,
100,6,7.7,3.6,23.5,,worker,,,,
307,6.2,9.9,1.5,15.2,,firefighter,,,,
118,6.3,8.5,2.3,12.3,,technician,,,,
57,6.5,4.2,0,6.3,,worker,,,,
93,6.7,8.8,0.6,11,,operator,,,,
313,6.8,5.7,3.5,13,,machinist,,,,
1213,7.2,7.1,2.3,46.5,,worker,,,,
104,7.2,1.7,0,35.6,,tree,trimmers,pruners,,
147,7.5,7.5,3.2,55.7,,installer,finisher,,,
173,7.7,3.5,1.5,21.8,,worker,,,,
296,8.1,6,21.5,5.8,,engineer,,,,
51,8.1,0.2,13.1,5.4,,engineer,,,,
3539,8.1,18.3,4,23.3,,driver,worker,,,
281,8.2,11.9,1.1,29.1,,supervisor,worker,,,
1057,8.5,5.3,2.6,16.2,,manager,,,,
403,8.5,3.6,14.9,11.9,,engineer,,,,
98,8.6,16.9,11.6,8.2,,architect,,,,
187,9.2,2.6,1.6,9.7,,pilot,engineer,,,
90,9.3,12.6,8.1,17.3,,technician,,,,
63,9.4,8,0,9.7,,supervisor,worker,,,
73,9.7,12.6,3,18,,operator,,,,
78,10.3,9.9,6.9,22.4,,operator,programmer,,,
71,10.3,2.2,0,30.6,,carpenter,,,,
177,10.4,16.3,6.3,15.1,,teller,repairer,,,
76,10.5,9.2,3.2,28.7,,worker,,,,
644,10.5,6.8,0.7,59.1,,painters,paperhangers,,,
636,10.5,24.9,1.4,31.9,,operator,,,,
112,10.6,25.8,1.6,26.7,,collector,,,,
53,10.9,9.4,4,16.6,,repairer,,,,
83,11.3,8.5,0,11.5,,technician,,,,
113,11.8,9.7,4.8,12.9,,inspector,,,,
746,12.7,16.7,2.5,13.1,,officer,,,,
455,13,26.3,20,23,,driver,,,,
202,13.3,6.7,14.3,9.6,,manager,,,,
60,13.7,13.4,0,17.8,,operator,,,,
112,13.8,10.7,3,26,,installer,repairer,,,
173,14.5,10.2,0.9,40,,worker,,,,
68,14.6,26.2,9.3,30.1,,attendant,,,,
631,14.9,7.1,15.2,8.9,,engineer,,,,
374,15,11,10.1,13.7,,technician,drafter,,,
80,15.3,5.1,6.7,12.6,,drafter,,,,
90,15.7,9.3,34.1,7,,engineer,,,,
91,15.7,4.9,0.4,18.6,,supervisor,,,,
140,15.9,1.1,4.2,9,,estimator,,,,
3464,16.1,6.6,13.9,10.3,,architecture,engineering,occupations,,
59,16.2,26.1,2.6,26,,driver,,,,
108,16.9,3,0.5,19.7,,salesperson,,,,
52,16.9,5.1,1.1,29.2,,supervisor,worker,,,
482,17.1,6.5,15.8,12.2,,engineer,,,,
111,17.3,8.9,6.2,18.8,,operator,editor,,,
55,17.4,23.8,2.4,23.8,,worker,,,,
