TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
151,0.1,10.3,1.1,31.3,,brickmason,blockmason,stonemason,,
216,0.5,4.4,0.9,47.7,,roofer,,,,
58,0.5,4.4,2.5,7,,mechanic,,,,
74,0.6,4.9,,51.5,,mason,finisher,worker,,
376,0.7,6.1,1.8,18.7,,mechanic,installer,,,
59,0.7,12.6,,6.1,,worker,,,,
330,0.8,7.1,3.3,13,,mechanic,specialist,,,
61,1.1,12.8,0.3,14,,operator,,,,
126,1.3,10,0.7,10.8,,installer,repairer,,,
536,1.3,6.5,1.4,18,,pipelayer,plumber,pipefitter,steamfitter,
126,1.3,2.3,1.6,3.9,,pilot,engineer,,,
163,1.5,7.3,1.1,30.5,,repairer,,,,
377,1.5,5.5,0.8,13.7,,engineer,operator,,,
223,1.6,5.8,1.4,9.7,,technician,mechanic,,,
1264,1.6,4.5,1.5,24.2,,carpenter,,,,
799,1.8,8,3.3,18.7,,technician,mechanic,,,
54,2,7.3,0.1,14.9,,operator,,,,
170,2.2,3.2,,56.6,,installer,taper,,,
57,2.2,8.5,0.5,4.9,,engineer,operator,,,
776,2.2,6.7,1.7,15.3,,electrician,,,,
223,2.3,2.3,1.8,44.5,,installer,finisher,,,
108,2.3,13.6,0.1,12.3,,worker,,,,
91,2.4,10,0.8,19.1,,repairer,,,,
132,2.5,7.5,1.5,11.1,,worker,,,,
7439,2.6,6,1.4,28.5,,construction,extraction,occupations,,
415,2.6,11,2.9,15.2,,worker,,,,
98,2.7,10.4,3.1,12,,engineer,operator,,,
1427,2.7,7.4,1.9,44.2,,laborer,,,,
54,2.9,2.1,0.5,2.1,,millwrights,,,,
284,3.4,7.5,0.7,8.8,,fire,fighters,,,
418,3.5,9.2,3.2,11.3,,mechanic,,,,
55,3.5,9.4,3.7,23.4,,worker,,,,
71,3.5,2.9,,13,,installer,,,,
183,3.7,14.2,3,15.4,,installer,repairer,,,
63,3.7,2.7,1.2,9,,worker,,,,
64,3.7,5.9,0.3,48.6,,helper,,,,
735,3.7,5,0.8,16.1,,worker,,,,
50,3.7,4.7,0.9,24.1,,carpenter,,,,
142,3.8,7,6.9,15.5,,mechanic,technician,,,
459,4,9,3.4,18.1,,worker,,,,
4957,4.2,8.4,3.1,14.6,,installation,maintenance,repair,occupations,
13323,4.4,6.8,2,24.2,,natural,resources,construction,maintenance,occupations
263,5,3.9,1.2,22.2,,worker,,,,
3151,5.2,13.4,1.8,18.7,,driver,worker,,,
1178,5.3,7,1.5,39.6,,worker,,,,
372,5.4,5.1,5.7,15,,machinist,,,,
72,5.8,18.9,2.9,6.3,,operator,,,,
83,5.8,17,0.2,25.9,,collector,,,,
61,5.9,6.2,0.5,17.3,,operator,,,,
50,5.9,10.7,,13.7,,conductor,,,,
1099,5.9,3.3,1.7,8.2,,manager,,,,
302,5.9,4,10.1,5.8,,engineer,,,,
50,6,3.3,,13,,operator,,,,
99,6.3,7.3,2.6,10.8,,inspector,,,,
522,6.9,6.6,1.6,39.9,,painters,construction,maintenance,,
507,6.9,22.4,1.7,26.6,,operator,,,,
64,7,9,7.7,19.8,,installer,repairer,,,
338,7.1,4.1,10.6,7.3,,engineer,,,,
54,7.3,7.3,0.8,7,,supervisor,manager,worker,,
80,7.8,1.4,2.2,10.3,,technician,,,,
124,8.1,2.9,8.7,5.4,,manager,,,,
179,8.3,12.6,3.3,12.5,,installer,repairer,,,
61,8.6,6.2,26.8,7.7,,engineer,,,,
54,8.6,11.7,2.3,9.9,,inspector,,,,
342,8.7,7,2,9.8,,supervisor,mechanic,installer,repairer,manager
195,8.8,7.9,4,16.7,,worker,,,,
314,9.4,5.1,17,5.1,,engineer,,,,
93,9.4,7.5,2.9,9.9,,technician,operator,,,
64,9.8,5.9,5.5,9.9,,programmer,operator,,,
136,10,6.1,7.8,8.3,,engineer,,,,
153,10.4,14.8,0.7,22.1,,worker,,,,
52,11.2,15.6,2.7,14.9,,announcers,,,,
316,11.2,16.4,1.7,37.1,,cleaners,vehicles,equipment,,
117,11.4,1.1,0.3,13.5,,estimator,,,,
84,11.8,24.4,8.5,22.2,,attendant,,,,
89,13,9.3,4.7,14.1,,attendant,,,,
329,13,9.9,4.9,11.4,,teller,repairer,,,
108,13.1,11.5,2.1,27.2,,worker,,,,
102,13.2,6.9,0.2,11.9,,salesperson,,,,
2740,13.8,5.5,9.9,7.2,,architecture,engineering,occupations,,
346,13.8,6.7,13.9,6.1,,engineer,,,,
55,14.2,13.2,7.5,8.2,,repairer,,,,
377,14.6,25.7,12.6,15.3,,driver,,,,
91,14.7,15,2.1,5.3,,supervisor,manager,,,
8297,15.3,15.3,2.6,20.4,,transportation,material,moving,occupations,
714,15.5,14.1,1.5,12.7,,officer,,,,
240,16.4,4.4,2.9,11.2,,manager,,,,
234,16.4,7.3,2,9.4,,manager,,,,
427,17,12.4,4,5.3,,clergy,,,,
1707,17.2,14,2.7,21.9,,laborer,mover,,,
186,17.4,2.9,12.4,9.5,,engineer,,,,
226,17.5,1.5,2,7.9,,manager,,,,
255,17.5,16,2.7,16,,courier,messenger,,,
739,18.1,9.3,4.9,14.8,,supervisor,manager,worker,,
53,18.2,6.4,3.1,2.8,,surveyors,cartographers,photogrammetrists,,
65,18.4,11,7.8,2.6,,engineer,,,,
681,18.6,3.2,1.2,45.7,,worker,,,,
93,18.6,35,1.8,19.8,,barber,,,,
365,19.6,9.4,4,8.3,,technician,drafter,,,
58,19.6,2.2,1.2,3.6,,chiropractors,,,,
498,20.2,5,13,5.4,,programmer,,,,
952,20.2,5.3,26.6,3.5,,engineer,,,,
926,20.5,5,1.4,40.7,,farming,fishing,forestry,occupations,
348,20.7,12.6,13.8,20.6,,chef,cook,,,
284,20.8,9.9,5.8,27.5,,metalworker,worker,,,
263,20.9,10.9,3.5,39.5,,dishwasher,,,,
15951,21.4,13.5,3.7,21.1,,production,transportation,material,moving,occupations
155,21.9,7.7,2.9,18.6,,operator,,,,
942,21.9,28.6,2.2,16.2,,guard,officer,,,
74,22.2,27.1,5.7,19.8,,porter,concierge,,,
207,22.3,5.6,7,7.6,,network,computer,systems,administrators,
3164,22.3,18.8,1.8,12.3,,protective,service,occupations,,
221,22.6,13.2,2.2,15,,supervisor,worker,,,
302,22.8,16.7,7.8,35.9,,worker,,,,
50,24,14.1,2.5,8.5,,supervisor,officer,manager,,
401,24.7,6.2,9.4,5.5,,analyst,,,,
149,24.7,6.8,2.9,9.9,,drafter,,,,
3481,24.8,6.7,15.7,5.4,,computer,mathematical,occupations,,
1631,25,2.9,4.2,4.6,,chief,executives,,,
807,25.1,14.9,3.1,23.9,,worker,,,,
81,25.1,10,1.6,18.1,,metal,plastic,,,
729,25.2,1.4,0.5,1.7,,farmers,ranchers,,,
204,25.3,2.5,4.8,6.9,,architect,,,,
81,25.6,10.6,5.3,29.9,,worker,,,,
50,26,15.3,7.5,11,,job,printers,,,
141,26.4,14.9,3.2,10.3,,investigator,,,,
384,26.7,11.7,8.3,7.5,,specialist,,,,
759,26.9,7.5,14.7,6.1,,scientist,analyst,,,
435,26.9,22,1.3,12.9,,bailiff,officer,jailer,,
1317,27.4,4.7,2.6,8.2,,sales,representatives,wholesale,manufacturing,
94,27.5,18,3.8,7.5,,supervisor,worker,,,
329,27.9,5.6,4.5,7.8,,securities,commodities,financial,services,sales
1291,28,6.1,4.5,9,,supervisor,worker,manager,,
7654,28.1,11.5,4.9,21.9,,production,occupations,,,
99,28.9,5.2,1.7,6,,appraiser,,,,
471,29,6.1,7,6.2,,manager,,,,
91,29.5,1,2.7,1.2,,scientist,geoscientist,,,
1004,30,5.5,4.6,6,,manager,,,,
113,30,7.2,19.6,6.6,,chemist,scientist,,,
156,30.1,7.8,1.2,5.5,,technician,paramedic,,,
164,30.2,1.4,10.8,7.9,,dentists,,,,
94,30.9,5.8,10.3,6.4,,analyst,,,,
258,31.5,10.4,3.1,9.2,,worker,,,,
168,31.5,12.2,0.8,8.3,,worker,,,,
400,32.1,6.9,6.4,7.7,,advisor,,,,
914,32.2,5.7,16.4,6.3,,surgeon,,,,
2149,32.2,17.3,2.9,29.4,,janitor,,,,
1043,32.4,4.7,4.1,2.8,,lawyer,,,,
514,33.4,8.6,3.7,11.4,,sales,representatives,services,,
52,33.5,8.3,5.7,2.6,,practitioner,,,,
483,33.8,14.4,2.7,23,,clerk,,,,
612,34,11,4.5,14.5,,inspector,,,,
3249,34,6.8,4.7,7.4,,manager,,,,
355,35,14.9,7.7,9.1,,postal,service,mail,carriers,
845,35.2,14,6.6,18.7,,assembler,,,,
110,35.3,5.1,14,7.3,,database,administrators,,,
1397,36.4,15.8,4.4,17.5,,clerk,,,,
15447,37.4,6.2,4.4,7.5,,management,occupations,,,
127,37.4,2.1,18.6,4.1,,scientist,,,,
54,38,18.2,12.7,18.7,,technician,,,,
163,39.6,8.3,3.2,11.5,,attendant,worker,,,
138,40.1,11.6,4.1,10.1,,producers,directors,,,
76,40.4,16.5,1.6,9.4,,investigator,,,,
5349,40.4,13.8,2.9,34.1,,building,grounds,cleaning,maintenance,occupations
276,40.6,13.5,2.8,21,,supervisor,manager,worker,,
118,40.9,6.8,2.6,9.8,,manager,,,,
2004,41.5,15.5,4.8,32.1,,cook,,,,
21529,42.7,7,4.9,7.6,,management,business,financial,operations,occupations
640,42.8,7.4,4.8,5,,analyst,,,,
938,42.8,4.4,3.7,7.2,,manager,,,,
80,42.8,1.8,0.9,4,,analyst,reporter,,,
51,42.8,10.7,2,21.9,,worker,,,,
72,43.9,26.4,6.7,7.1,,operator,,,,
64,43.9,11.9,7.5,13.6,,logisticians,,,,
3311,44.1,7.7,5.8,10.3,,supervisor,worker,manager,,
73,44.2,4.8,3.2,7,,worker,,,,
188,44.8,4.1,3.9,7.6,,photographers,,,,
98,45.1,4.7,13.6,5.1,,scientist,,,,
213,45.5,0.8,3.9,9.3,,worker,,,,
1003,45.7,6.9,10.4,14.2,,manager,,,,
154,46,4.8,5.4,6.1,,supervisor,worker,manager,,
548,46.3,6.3,2.1,9.5,,insurance,sales,agents,,
2724,46.6,6.7,3.6,8.8,,arts,design,entertainment,sports,media
597,46.7,8.1,2.8,9.3,,manager,,,,
1328,46.8,6,12.7,5.9,,life,physical,social,science,occupations
108,46.9,10.7,8.4,5.8,,analyst,,,,
139877,47.3,10.7,4.7,14,,,,,,
61,48.1,16.3,6,17.9,,weighers,measurers,checkers,samplers,recordkeeping
160,48.2,8.4,14.7,9.4,,manager,,,,
142,48.5,14.1,5.4,10.1,,clerk,,,,
127,49.1,11,26,11.2,,worker,,,,
1321,49.2,5.3,11.3,4.6,,teacher,,,,
267,49.3,8.9,14.7,3.5,,pharmacist,,,,
15641,49.6,9.6,4.8,11.9,,sales,occupations,,,
209,49.6,6.8,1.3,3.5,,advertising,sales,agents,,
154,49.6,28.3,13.7,9.4,,clerk,,,,
1710,49.8,6.5,3.6,5,,legal,occupations,,,
104,50,24.3,5.3,10.1,,clerk,operator,,,
87,50,7,1.8,32.5,,food,batchmakers,,,
198,50.3,8.7,4,3.7,,manager,,,,
51,50.4,3.3,1.7,3.9,,writer,,,,
200,50.6,12,1.7,6.8,,safety,transportation,,,
52219,51.4,8.4,6.2,7.3,,management,professional,occupations,,
655,51.5,24.9,2,13.3,,driver,,,,
96,51.8,6.7,5.9,16.4,,technician,,,,
3182,51.8,10.9,5,14,,salesperson,,,,
115,52.3,21.5,4.2,14.4,,operator,,,,
70,53.1,2.7,3.4,3.3,,manager,,,,
